datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-04-09 20:00:00,58.3,61.38,52.86,60.98,63.95,56.15,DCC-NOISE-001003-2013-04-09T00-00-00.txt,0
2013-12-05 06:22:00,66.34,71.64,58.84,76.27,82.89,64.47,DCC-NOISE-001003-2013-12-05T00-00-00.txt,1
2013-04-05 05:30:00,51.53,56.95,45.62,53.73,58.93,48.96,DCC-NOISE-001003-2013-04-05T00-00-00.txt,0
2013-04-13 14:05:00,61.16,63.44,56.48,64.28,66.35,59.76,DCC-NOISE-001003-2013-04-13T00-00-00.txt,0
2013-05-20 06:45:00,56.55,59.94,51.24,59.94,63.57,54.47,DCC-NOISE-001003-2013-05-20T00-00-00.txt,0
2013-12-05 08:32:00,67.61,73.14,60.23,77.81,85.22,65.1,DCC-NOISE-001003-2013-12-05T00-00-00.txt,1
2013-09-11 10:55:00,64.72,71.08,57.47,69.45,75.75,61.84,DCC-NOISE-001003-2013-09-11T00-00-00.txt,1
2013-02-28 10:05:00,58.92,61.77,51.16,63.0,65.55,56.48,DCC-NOISE-001003-2013-02-28T00-00-00.txt,0
2013-04-23 17:55:00,66.02,72.84,52.88,66.21,71.58,58.15,DCC-NOISE-001003-2013-04-23T00-00-00.txt,1
2013-12-30 10:20:00,63.12,63.81,57.64,65.11,67.01,60.24,DCC-NOISE-001003-2013-12-30T00-00-00.txt,1
2013-09-24 22:25:00,52.18,57.7,40.54,54.4,59.02,45.35,DCC-NOISE-001003-2013-09-24T17-00-00.txt,0
2013-01-26 13:30:00,60.44,63.17,56.05,63.41,66.15,59.25,DCC-NOISE-001014-2013-01-26T00-00-00.txt,0
2013-02-26 16:05:00,66.11,74.69,54.83,69.28,77.93,57.13,DCC-NOISE-001003-2013-02-26T00-00-00.txt,1
2013-09-19 09:05:00,60.78,62.69,57.07,64.59,67.13,60.5,DCC-NOISE-001003-2013-09-19T00-00-00.txt,0
2013-04-11 09:45:00,60.21,63.51,53.83,62.41,65.35,57.52,DCC-NOISE-001003-2013-04-11T00-00-00.txt,0
2013-02-04 01:20:00,61.49,64.99,53.72,70.98,76.37,59.04,DCC-NOISE-001014-2013-02-04T00-00-00.txt,0
2013-12-18 18:20:00,60.95,63.29,56.38,65.91,68.8,60.29,DCC-NOISE-001003-2013-12-18T00-00-00.txt,0
2013-05-22 05:00:00,58.04,60.35,54.08,57.76,59.65,54.82,DCC-NOISE-001003-2013-05-22T00-00-00.txt,0
2013-09-15 03:45:00,55.44,59.44,48.52,57.17,60.79,50.34,DCC-NOISE-001003-2013-09-15T00-00-00.txt,0
2013-03-30 10:45:00,61.05,65.69,55.24,63.19,67.46,57.33,DCC-NOISE-001003-2013-03-30T00-00-00.txt,0
2013-05-30 04:05:00,69.9,82.58,49.03,69.19,81.48,51.73,DCC-NOISE-001003-2013-05-30T00-00-00.txt,1
2013-04-14 18:10:00,64.26,67.22,60.08,73.26,78.54,63.97,DCC-NOISE-001003-2013-04-14T00-00-00.txt,1
2013-02-14 11:50:00,63.51,66.71,55.66,66.64,70.55,59.59,DCC-NOISE-001014-2013-02-14T00-00-00.txt,1
2013-05-05 14:45:00,64.92,71.8,51.96,65.78,70.71,55.06,DCC-NOISE-001003-2013-05-05T00-00-00.txt,1
2013-04-26 14:30:00,60.45,62.8,55.79,64.65,67.23,60.49,DCC-NOISE-001003-2013-04-26T00-00-00.txt,0
2013-03-30 17:10:00,57.69,61.15,50.71,62.09,64.96,54.21,DCC-NOISE-001003-2013-03-30T00-00-00.txt,0
2013-02-13 16:30:00,60.36,62.81,56.01,65.41,68.9,60.49,DCC-NOISE-001014-2013-02-13T00-00-00.txt,0
2013-10-27 12:46:00,61.36,63.66,57.9,65.75,69.53,60.4,DCC-NOISE-001003-2013-10-27T00-00-00.txt,0
2013-11-16 19:02:00,58.76,61.53,55.57,62.21,64.58,58.77,DCC-NOISE-001003-2013-11-16T00-00-00.txt,0
2013-11-02 11:57:00,64.01,66.2,59.67,68.41,71.48,62.19,DCC-NOISE-001003-2013-11-02T00-00-00.txt,1
2013-04-18 17:35:00,62.74,66.39,57.75,70.82,76.75,62.62,DCC-NOISE-001003-2013-04-18T00-00-00.txt,0
2013-11-12 08:36:00,60.53,62.59,57.85,64.63,66.84,62.23,DCC-NOISE-001003-2013-11-12T00-00-00.txt,0
2013-03-21 09:10:00,63.86,67.19,58.07,69.14,73.8,63.15,DCC-NOISE-001003-2013-03-21T00-00-00.txt,1
2013-08-23 03:00:00,42.88,43.28,39.3,47.77,49.43,44.89,DCC-NOISE-001003-2013-08-23T00-00-00.txt,0
2013-05-01 07:30:00,61.05,65.47,54.5,65.39,70.86,58.48,DCC-NOISE-001003-2013-05-01T00-00-00.txt,0
2013-05-14 13:50:00,55.65,58.51,51.53,60.2,62.97,56.59,DCC-NOISE-001003-2013-05-14T00-00-00.txt,0
2013-04-16 18:05:00,60.45,63.47,52.86,65.3,70.48,58.07,DCC-NOISE-001003-2013-04-16T00-00-00.txt,0
2013-12-20 20:15:00,61.34,63.9,57.18,66.22,68.99,60.85,DCC-NOISE-001003-2013-12-20T00-00-00.txt,0
2013-03-15 21:15:00,56.93,60.18,52.09,59.91,62.98,55.22,DCC-NOISE-001003-2013-03-15T00-00-00.txt,0
2013-11-08 10:01:00,57.33,60.17,52.89,60.84,63.32,56.85,DCC-NOISE-001003-2013-11-08T00-00-00.txt,0
2013-05-04 20:50:00,57.24,60.0,52.77,59.9,62.67,56.01,DCC-NOISE-001003-2013-05-04T00-00-00.txt,0
2013-06-23 14:15:00,60.96,63.73,56.05,63.71,66.32,58.68,DCC-NOISE-001003-2013-06-23T00-00-00.txt,0
2013-05-09 17:15:00,63.25,65.27,60.17,66.32,69.05,62.64,DCC-NOISE-001003-2013-05-09T00-00-00.txt,1
2013-02-07 15:40:00,61.71,63.65,58.81,65.96,68.53,62.48,DCC-NOISE-001014-2013-02-07T00-00-00.txt,0
2013-12-10 10:45:00,60.68,64.64,55.57,65.0,68.73,59.49,DCC-NOISE-001003-2013-12-10T00-00-00.txt,0
2013-05-30 08:55:00,64.64,66.68,58.35,69.57,72.56,64.11,DCC-NOISE-001003-2013-05-30T00-00-00.txt,1
2013-05-13 14:55:00,60.74,63.61,55.16,66.45,70.05,60.12,DCC-NOISE-001003-2013-05-13T00-00-00.txt,0
